rank,code,name,industry,score_100,score_raw,momentum_score,activity_score,stability_score,liquidity_score,ret_5,ret_10,ret_20,breakout_20,amount_ratio_5_20,turnover_5,turnover_20_used,vol_10,win_rate_20,max_drawdown_20,vol_base,accel,avg_amount_20_used,close,trade_date
1,301261,恒工精密,制造业-通用设备制造业,100.0,1.9060201663596048,2.0866722696686306,2.6947609232803784,1.0920793703635112,1.1949676906623716,0.10206833333333329,0.14593166666666638,-0.04223333333333334,0.14593166666666638,1.4,14.67,14.67,0.012,0.468325,-0.012,0.012,0.23167500000000002,525346437.32,89.76,2026-04-28
2,603399,永杉锂业,制造业-有色金属冶炼和压延加工业,99.96036464526358,1.6966860807040183,2.2937940497097515,2.6144282540975565,0.13189624581799608,0.6612143208808617,0.10206833333333329,0.14593166666666638,0.11083333333333334,0.14593166666666638,1.4,10.78,10.78,0.0446,0.583125,-0.0446,0.0446,0.017075000000000007,875047695.0,16.03,2026-04-28
3,300209,行云科技,批发和零售业-零售业,99.92072929052715,1.630103624966789,1.2390566346317027,2.7484336827451057,-0.6497905086030636,3.8488710143229614,0.10206833333333329,0.14593166666666638,0.24172083333333327,0.14593166666666638,1.3,14.65,14.65,0.0833,0.6812906249999999,-0.0833,0.0833,-0.24170000000000005,1480111326.24,14.19,2026-04-28
4,301248,杰创智能,信息传输、软件和信息技术服务业-软件和信息技术服务业,99.88109393579072,1.627947490176965,1.7440394393362602,1.8486688077235638,0.6338093408177625,2.2760176289867835,0.10206833333333329,0.14593166666666638,0.24172083333333327,0.14593166666666638,1.2256,14.67,14.67,0.0489,0.6812906249999999,-0.0489,0.0489,-0.14092500000000005,1736940792.89,86.35,2026-04-28
5,601789,宁波建工,建筑业-土木工程建筑业,99.8414585810543,1.5983070986527097,1.9506429417299755,2.7475755166674487,-0.43467624536478733,1.4539419457787643,0.10206833333333329,0.12175,0.0449,0.12175,1.3972,6.94,6.94,0.0588,0.533675,-0.0588,0.0588,0.06562499999999999,446804422.0,5.98,2026-04-28
6,002575,群兴玩具,批发和零售业-批发业,99.80182322631788,1.573689410653578,2.300483924500464,3.081943766911688,-1.399268904810683,1.0857578672507122,0.10206833333333329,0.11295,0.0253,0.11295,1.4,14.67,14.67,0.0761,0.518975,-0.0761,0.0761,0.081325,589921043.68,6.8,2026-04-28
7,001298,好上好,批发和零售业-批发业,99.76218787158146,1.5572419385959242,2.2149090762275416,2.994948483330553,-1.2112881916439293,1.0986588373403676,0.10206833333333329,0.10416666666666667,0.008333333333333333,0.10416666666666667,1.4,13.81,13.81,0.0707,0.50625,-0.0707,0.0707,0.09375000000000001,753361622.66,23.33,2026-04-28
8,603317,天味食品,制造业-食品制造业,99.72255251684503,1.5465566141805491,2.3551813871056795,1.5338617671407189,1.1710679974194016,-0.08796654620521735,0.10206833333333329,0.13119999999999998,0.0622,0.13119999999999998,1.4,2.39,2.39,0.0007000000000000001,0.54665,-0.0007000000000000001,0.0007000000000000001,0.05344999999999999,400011646.0,15.71,2026-04-28
9,002923,润都股份,制造业-医药制造业,99.6829171621086,1.5446742569651029,2.150841731081958,2.4231683050085775,0.29226943142305506,0.13394401330376055,0.10149166666666667,0.10328333333333334,0.007166666666666666,0.10328333333333334,1.3988,6.63,6.63,0.0375,0.505375,-0.0375,0.0375,0.094325,234087566.19,13.79,2026-04-28
10,300540,蜀道装备,制造业-通用设备制造业,99.64328180737218,1.5442419560388454,2.3107382807725276,2.6947609232803784,-1.6208089051971923,1.8027879596611895,0.10206833333333329,0.14593166666666638,0.1715,0.14593166666666638,1.4,14.67,14.67,0.1598,0.628625,-0.1598,0.1598,0.071375,1283952455.37,36.12,2026-04-28
